Page,Title,Brand,Reference,Category,Subcategory,Availability,PriceHT,PriceTTC,SalePriceHT,SalePriceTTC,DiscountPercentage,ID,dateDebutPromo,dateFinPromo,product url,EAN
1,Portique en bois Jonquille,Soulet,924517,Jeux d'extérieur,Balançoires et portiques,Available in central stock,324.99,389.99,308.33,369.99,5.0,250078,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/balancoires/ref-924517-portique-en-bois-jonquille.htm,3598740047807.0
1,Pâte à modeler - Coffret 100 pots de pâte Play-Doh ,Play Doh,893104,Jeux créatifs,"Pate à modeler, modelage et gravure",Available in central stock,54.16,64.99,27.08,32.49,50.0,287183,2025-01-16T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-creatifs/pate/ref-893104-pate-a-modeler---coffret-100-pots-de-pate-play-doh-.htm,5010994115357.0
1,Tondeuse Bubble à bulles ,SUN and SPORT,809886,Jeux d'extérieur,Jeux et outils de jardinage,Available in central stock,29.16,34.99,24.99,29.99,14.0,230173,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/jeux/ref-809886-tondeuse-bubble-a-bulles-.htm,8053735006047.0
1,Cuisine d'été - Smoby Life,Smoby,982838,Jeux d'extérieur,Cabanes et maisonnettes,Available in central stock,33.33,39.99,31.66,37.99,5.0,320359,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/cabanes/ref-982838-cuisine-dete---smoby-life.htm,3032168109261.0
1,Polly Pocket - Coffret Multifacettes Glace,Mattel,878605,Jeux d'imitation & Mondes imaginaires,Figurines,Available in central stock,33.33,39.99,16.66,19.99,50.0,242042,2025-01-16T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/figurines/ref-878605-polly-pocket---coffret-multifacettes-glace.htm,194735042760.0
1,Toboggan en plastique vert,SUN and SPORT,903968,Jeux d'extérieur,Toboggans,Available in central stock,33.33,39.99,24.99,29.99,25.0,251700,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/toboggans/ref-903968-toboggan-en-plastique-vert.htm,8001478502869.0
1,Gecko Radiocommandé Hex Bots,Spin Master,968669,"Véhicules, circuits et jouets radiocommandés",Les autres véhicules,Available in central stock,26.66,31.99,24.99,29.99,6.0,306645,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/vehicules-circuits-et-jouets-radiocommandes/les/ref-968669-gecko-radiocommande-hex-bots.htm,681147021228.0
1,Piles High Energy LR03 5 + 1,Varta,703039,Jeux & Jouets,Piles et emballages,Available in central stock,5.83,6.99,4.99,5.99,14.0,211216,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux--jouets/piles/ref-703039-piles-high-energy-lr03-5-+-1.htm,N/A
1,L'atelier des stylos,Clementoni,943431,Jeux créatifs,"Mode, bijoux, décoration, cosmétiques",Available in central stock,28.33,33.99,24.99,29.99,12.0,280624,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-creatifs/mode/ref-943431-latelier-des-stylos.htm,8005125527694.0
1,Siège de balançoire bébé,SUN and SPORT,867823,Jeux d'extérieur,Balançoires et portiques,Available in central stock,22.49,26.99,20.83,24.99,7.0,239270,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/balancoires/ref-867823-siege-de-balancoire-bebe.htm,8053735010860.0
